,Churn,Churn_Prob,custID,predicted
879,0,0.24581698947372368,879,0
5790,0,0.2653607758786048,5790,0
6498,1,0.6694097806934527,6498,1
880,1,0.6309703303790285,880,1
2784,1,0.6829160564305612,2784,1
3874,0,0.3995262170548808,3874,0
5387,0,0.27582790829891435,5387,0
6623,1,0.7981675274354735,6623,1
4465,0,0.1987862542744676,4465,0
5364,1,0.5291187840193696,5364,1
3022,0,0.143441453575389,3022,0
1251,1,0.5890380365473951,1251,1
3494,1,0.7203952543887124,3494,1
266,0,0.012225431479472085,266,0
2772,0,0.010704798772629576,2772,0
242,0,0.07105520067912294,242,0
738,0,0.449568532186031,738,0
4066,0,0.04179223762613596,4066,0
3214,0,0.21917280558719118,3214,0
2408,0,0.008663343578550978,2408,0
4201,0,0.00428655691774835,4201,0
389,0,0.3905022591972143,389,0
3683,0,0.007833324719415993,3683,0
689,0,0.24766597664463663,689,0
6502,0,0.07557293359098541,6502,0
500,0,0.16356383009041564,500,0
3296,0,0.2023213351474477,3296,0
4334,0,0.4938213353192018,4334,0
340,0,0.17040618018657644,340,0
3848,0,0.30696301692256817,3848,0
1037,0,0.41943098740963514,1037,0
2104,1,0.6227678642128288,2104,1
5527,0,0.09713127874328176,5527,0
1001,1,0.5925808634235762,1001,1
3889,0,0.04793980227235626,3889,0
2548,0,0.6244664955598106,2548,1
6746,1,0.2148497910964013,6746,0
6552,1,0.7972957825509109,6552,1
4352,0,0.18116938805614433,4352,0
1154,0,0.020753744456584584,1154,0
4812,1,0.24061620696169597,4812,0
6033,1,0.6879538883756442,6033,1
3404,0,0.05404408974111419,3404,0
4282,0,0.1776385606063796,4282,0
1723,0,0.03770240025872648,1723,0
4128,1,0.12841528027122429,4128,0
4283,0,0.740733114844727,4283,1
5453,0,0.012086753768515994,5453,0
47,1,0.7322426858905066,47,1
5059,1,0.5375469484073695,5059,1
653,0,0.10392371331363974,653,0
2409,0,0.11199984285604787,2409,0
3748,0,0.022703050403819224,3748,0
5620,0,0.07356377644623764,5620,0
2206,1,0.3689511748136728,2206,0
